施設,種別,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,緯度,経度
藤沢保育園,市立保育園,-,-,-,-,〇,-,35.335049,139.488495
辻堂保育園,市立保育園,-,-,-,-,-,-,35.342178,139.45076
鵠沼保育園,市立保育園,-,-,-,-,〇,〇,35.328388,139.471771
藤が岡保育園,市立保育園,-,-,-,-,-,-,35.344986,139.493088
善行保育園,市立保育園,×,×,×,〇,〇,,35.364597,139.471207
明治保育園,市立保育園,-,-,-,〇,〇,〇,35.350842,139.460541
浜見保育園,市立保育園,-,-,-,-,〇,〇,35.320568,139.461029
湘南台保育園,市立保育園,-,-,-,-,〇,〇,35.400909,139.470795
善行乳児保育園,市立保育園,-,-,-,×,×,×,35.364597,139.471207
柄沢保育園,市立保育園,×,×,×,×,-,〇,35.350201,139.497116
しぶやがはら保育園,市立保育園,-,-,-,-,-,-,35.402557,139.462799
高山保育園,市立保育園,-,-,-,-,〇,〇,35.339355,13.4664
またの保育園,市立保育園,-,-,-,〇,〇,,35.372021,139.484253
小糸保育園,市立保育園,-,-,-,-,〇,〇,35.358376,139.446625
わかたけ保育園,法人立保育園,〇,-,-,-,-,-,35.331669,139.445053
御所見愛児園,法人立保育園,〇,-,-,-,-,〇,35.404308,139.417587
神愛保育園,法人立保育園,-,-,-,-,〇,,35.413586,139.468063
遠藤保育園,法人立保育園,-,-,-,-,-,-,35.381592,139.439041
六会保育園,法人立保育園,-,-,-,-,-,〇,35.381027,139.465454
神明保育園,法人立保育園,〇,-,-,-,-,-,35.343212,139.473236
富士見保育園,法人立保育園,-,-,-,〇,-,-,35.317123,139.484528
白旗保育園,法人立保育園,-,-,-,-,-,-,35.349949,139.480865
村岡保育園,法人立保育園,-,-,-,-,-,〇,35.339302,139.494461
下土棚保育園,法人立保育園,-,-,-,-,-,〇,35.409519,139.457932
二葉保育園,法人立保育園,-,-,〇,-,〇,-,35.327957,139.465073
亀井野保育園,法人立保育園,-,-,-,-,-,-,35.384945,139.47644
大庭保育園,法人立保育園,〇,-,〇,-,-,-,35.373566,139.442276
五反田保育園,法人立保育園,-,-,-,-,-,-,35.370647,139.450073
高谷保育園,法人立保育園,〇,-,-,-,-,-,35.343452,139.507492
ときわぎ保育園,法人立保育園,-,-,-,-,-,-,35.395832,139.45932
藤沢ベビーセンター,法人立保育園,〇,-,-,〇,-,-,35.341015,139.490494
しんめいはじめ保育園,法人立保育園,〇,-,-,-,-,-,35.34005,139.478622
すくすく保育園,法人立保育園,-,-,-,〇,-,〇,35.395855,139.465607
五反田保育園(分園),法人立保育園,〇,-,-,-,〇,-,35.373055,139.448975
キディ鵠沼・藤沢,法人立保育園,-,-,-,-,-,〇,35.325645,139.486862
石上保育園,法人立保育園,-,-,-,-,-,〇,35.332062,139.486755
保育園小さなほし,法人立保育園,-,-,-,-,-,-,35.393764,139.462646
グリーンキッズ湘南,法人立保育園,〇,-,-,-,-,-,35.36058,139.44635
キディ湘南Ｃ－Ｘ,法人立保育園,〇,-,-,-,-,〇,35.338615,139.447388
キディ鵠沼・藤沢（分園）,法人立保育園,,-,-,-,×,×,35.325768,139.486801
ときわぎ保育園（分園）,法人立保育園,×,×,×,-,-,-,35.394321,139.460907
湘南ひばり保育園,法人立保育園,〇,-,-,-,-,-,35.353489,139.501114
保育園アワーキッズ辻堂,法人立保育園,,-,-,-,×,×,35.336021,139.446365
